GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Population of one race:,Margin of Error; Population of one race:,Estimate; Population of one race: - White,Margin of Error; Population of one race: - White,Estimate; Population of one race: - Black or African American,Margin of Error; Population of one race: - Black or African American,Estimate; Population of one race: - American Indian and Alaska Native,Margin of Error; Population of one race: - American Indian and Alaska Native,Estimate; Population of one race: - Asian alone,Margin of Error; Population of one race: - Asian alone,Estimate; Population of one race: - Native Hawaiian and Other Pacific Islander,Margin of Error; Population of one race: - Native Hawaiian and Other Pacific Islander,Estimate; Population of one race: - Some other race,Margin of Error; Population of one race: - Some other race,Estimate; Population of two or more races:,Margin of Error; Population of two or more races:,Estimate; Population of two or more races: - Two races including Some other race,Margin of Error; Population of two or more races: - Two races including Some other race,"Estimate; Population of two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Population of two or more races: - Two races excluding Some other race, and three or more races",Estimate; Population of two or more races: - Population of two races:,Margin of Error; Population of two or more races: - Population of two races:,Estimate; Population of two or more races: - Population of two races: - White; Black or African American,Margin of Error; Population of two or more races: - Population of two races: - White; Black or African American,Estimate; Population of two or more races: - Population of two races: - White; American Indian and Alaska Native,Margin of Error; Population of two or more races: - Population of two races: - White; American Indian and Alaska Native,Estimate; Population of two or more races: - Population of two races: - White; Asian,Margin of Error; Population of two or more races: - Population of two races: - White; Asian,Estimate; Population of two or more races: - Population of two races: - Black or African American; American Indian and Alaska Native,Margin of Error; Population of two or more races: - Population of two races: - Black or African American; American Indian and Alaska Native,Estimate; Population of two or more races: - Population of two races: - All other two race combinations,Margin of Error; Population of two or more races: - Population of two races: - All other two race combinations,Estimate; Population of two or more races: - Population of three races,Margin of Error; Population of two or more races: - Population of three races,Estimate; Population of two or more races: - Population of four or more races,Margin of Error; Population of two or more races: - Population of four or more races
0500000US01001,01001,"Autauga County, Alabama",55221,,54355,300,42741,428,10315,254,230,87,534,176,24,31,511,457,866,300,74,76,792,281,866,300,263,169,224,87,163,131,15,29,201,155,0,27,0,27
0500000US01003,01003,"Baldwin County, Alabama",195121,,191724,669,168646,727,18735,577,1166,343,1307,329,0,27,1870,676,3397,669,738,445,2659,584,3353,671,847,525,1346,276,362,175,36,58,762,444,33,33,11,17
0500000US01005,01005,"Barbour County, Alabama",26932,,26575,151,12756,239,12595,205,52,43,244,158,0,21,928,283,357,151,5,9,352,151,292,125,91,64,99,58,44,52,48,45,10,12,65,95,0,21
0500000US01007,01007,"Bibb County, Alabama",22604,,22294,228,17327,15,4846,232,93,44,21,27,0,21,7,15,310,228,0,21,310,228,310,228,227,226,58,44,0,21,11,16,14,20,0,21,0,21
0500000US01009,01009,"Blount County, Alabama",57710,,56729,215,54881,325,884,117,326,222,83,67,0,27,555,275,981,215,22,29,959,211,965,213,331,148,480,112,110,78,0,27,44,46,12,15,4,8
0500000US01011,01011,"Bullock County, Alabama",10678,,10541,140,2845,482,7550,504,124,147,22,25,0,18,0,18,137,140,0,18,137,140,137,140,0,18,117,137,0,18,20,21,0,18,0,18,0,18
0500000US01013,01013,"Butler County, Alabama",20354,,20137,62,11023,83,8961,101,13,12,81,74,0,21,59,64,217,62,0,21,217,62,217,62,76,53,100,12,12,20,11,16,18,20,0,21,0,21
0500000US01015,01015,"Calhoun County, Alabama",116648,,113902,461,87615,439,23895,437,223,107,1000,142,7,11,1162,424,2746,461,182,192,2564,441,2524,442,1181,362,896,222,136,106,44,35,267,210,177,111,45,63
0500000US01017,01017,"Chambers County, Alabama",34079,,33728,147,19652,84,13738,169,57,31,260,26,9,16,12,21,351,147,18,26,333,144,351,147,225,137,108,31,0,24,0,24,18,26,0,24,0,24
0500000US01019,01019,"Cherokee County, Alabama",26008,,25701,109,24167,64,1281,131,144,63,88,86,4,7,17,21,307,109,5,8,302,107,307,109,120,81,170,64,0,21,8,13,9,12,0,21,0,21
0500000US01021,01021,"Chilton County, Alabama",43819,,43445,166,36828,470,4528,109,158,84,126,75,0,24,1805,470,374,166,22,25,352,165,374,166,147,98,126,85,76,75,3,6,22,25,0,24,0,24
0500000US01023,01023,"Choctaw County, Alabama",13395,,13292,65,7487,5,5801,65,2,4,0,18,0,18,2,5,103,65,0,18,103,65,80,44,33,33,29,22,2,3,16,23,0,18,23,32,0,18
0500000US01025,01025,"Clarke County, Alabama",25070,,24990,77,13427,48,11346,187,7,8,90,91,96,148,24,39,80,77,10,15,70,71,80,77,30,49,4,7,0,21,36,50,10,15,0,21,0,21
0500000US01027,01027,"Clay County, Alabama",13537,,13325,164,11065,124,1963,153,105,48,0,18,0,18,192,146,212,164,22,30,190,161,212,164,139,160,51,47,0,18,0,18,22,30,0,18,0,18
0500000US01029,01029,"Cleburne County, Alabama",15002,,14711,125,14098,112,442,108,33,45,53,65,0,18,85,79,291,125,22,34,269,118,248,105,116,68,67,45,1,2,42,51,22,34,43,73,0,18
0500000US01031,01031,"Coffee County, Alabama",50884,,49396,270,39067,230,8829,228,475,123,627,98,0,27,398,207,1488,270,11,9,1477,270,1432,272,364,185,561,98,362,105,64,94,81,66,56,35,0,27
0500000US01033,01033,"Colbert County, Alabama",54444,,53001,347,43311,261,8478,301,312,128,178,59,35,39,687,358,1443,347,274,187,1169,311,1347,355,560,288,288,128,157,50,15,17,327,205,96,137,0,27
0500000US01035,01035,"Conecuh County, Alabama",12865,,12507,215,6710,55,5752,203,37,39,6,11,0,18,2,3,358,215,0,18,358,215,353,216,9,13,113,82,0,18,208,190,23,37,5,8,0,18
0500000US01037,01037,"Coosa County, Alabama",11027,,10818,175,7427,18,3384,175,7,11,0,18,0,18,0,18,209,175,0,18,209,175,209,175,198,177,11,16,0,18,0,18,0,18,0,18,0,18
0500000US01039,01039,"Covington County, Alabama",37886,,37368,124,31954,91,4933,84,171,76,117,53,23,28,170,93,518,124,69,72,449,124,518,124,153,77,259,76,37,37,0,24,69,72,0,24,0,24
0500000US01041,01041,"Crenshaw County, Alabama",13938,,13758,87,9966,87,3277,97,108,37,253,18,0,18,154,89,180,87,0,18,180,87,180,87,139,75,28,37,0,18,13,19,0,18,0,18,0,18
0500000US01043,01043,"Cullman County, Alabama",80965,,79842,170,77478,356,964,167,331,131,451,31,21,22,597,328,1123,170,77,81,1046,161,1121,171,411,110,589,131,12,24,15,21,94,86,2,4,0,27
0500000US01045,01045,"Dale County, Alabama",49866,,48479,216,37232,404,9798,194,258,76,588,91,10,14,593,362,1387,216,91,69,1296,208,1311,217,366,172,399,76,234,106,108,68,204,113,72,57,4,8
0500000US01047,01047,"Dallas County, Alabama",42154,,41558,244,12085,38,29164,257,77,58,144,62,20,32,68,74,596,244,26,27,570,244,528,240,170,184,59,52,22,33,149,140,128,117,68,66,0,24
0500000US01049,01049,"DeKalb County, Alabama",71068,,69472,383,61415,844,1295,152,877,284,219,32,730,661,4936,959,1596,383,236,186,1360,276,1516,398,194,146,1048,251,28,33,10,15,236,186,73,113,7,12
0500000US01051,01051,"Elmore County, Alabama",80763,,79313,269,60989,348,17137,236,222,87,417,146,0,27,548,294,1450,269,85,79,1365,257,1384,257,455,214,456,77,332,142,0,27,141,97,34,27,32,44
0500000US01053,01053,"Escambia County, Alabama",37935,,37383,184,23303,140,12678,241,1207,93,49,39,0,24,146,129,552,184,53,72,499,168,538,182,149,137,295,95,19,29,1,3,74,75,14,21,0,24
0500000US01055,01055,"Etowah County, Alabama",103766,,102190,302,84312,367,16025,226,343,133,679,93,107,92,724,341,1576,302,94,85,1482,274,1527,299,473,170,670,115,189,96,47,47,148,102,27,34,22,26
0500000US01057,01057,"Fayette County, Alabama",16896,,16613,184,14454,52,2093,215,0,18,66,68,0,18,0,18,283,184,0,18,283,184,280,184,102,85,87,69,0,18,1,3,90,115,3,7,0,18
0500000US01059,01059,"Franklin County, Alabama",31634,,31245,203,27924,708,1554,389,373,257,29,28,38,49,1327,713,389,203,161,163,228,136,291,181,22,33,67,62,32,53,2,4,168,164,98,118,0,24
0500000US01061,01061,"Geneva County, Alabama",26815,,26301,108,23195,190,2387,333,87,40,329,358,0,21,303,213,514,108,29,44,485,107,508,108,153,83,297,51,29,49,0,21,29,44,6,11,0,21
0500000US01063,01063,"Greene County, Alabama",8697,,8583,115,1547,16,7015,118,7,13,14,22,0,16,0,16,114,115,64,87,50,75,64,87,0,16,0,16,0,16,0,16,64,87,50,75,0,16
0500000US01065,01065,"Hale County, Alabama",15256,,15204,52,6097,14,8886,60,43,15,42,53,9,14,127,48,52,52,36,47,16,18,52,52,0,18,10,15,0,18,0,18,42,50,0,18,0,18
0500000US01067,01067,"Henry County, Alabama",17252,,17098,39,12140,71,4891,33,0,18,0,18,0,18,67,58,154,39,10,17,144,33,152,38,29,30,105,18,0,18,0,18,18,20,2,3,0,18
0500000US01069,01069,"Houston County, Alabama",103534,,101592,188,72170,242,27359,177,383,86,792,84,35,46,853,195,1942,188,115,44,1827,187,1850,187,665,134,568,62,310,81,128,62,179,52,83,33,9,10
0500000US01071,01071,"Jackson County, Alabama",52860,,51250,247,48087,261,1635,157,582,207,210,34,64,65,672,267,1610,247,54,50,1556,243,1573,252,360,110,1002,209,58,33,26,53,127,102,37,34,0,27
0500000US01073,01073,"Jefferson County, Alabama",659026,,651497,920,347760,1158,279086,900,1515,322,10348,356,185,52,12603,1415,7529,920,393,142,7136,892,6988,894,2759,639,1751,318,1224,374,670,258,584,177,541,308,0,27
0500000US01075,01075,"Lamar County, Alabama",14133,,14047,47,12350,18,1565,89,40,41,3,4,0,18,89,99,86,47,0,18,86,47,86,47,86,47,0,18,0,18,0,18,0,18,0,18,0,18
0500000US01077,01077,"Lauderdale County, Alabama",92737,,91142,330,80613,185,9239,264,405,117,672,86,9,15,204,136,1595,330,132,79,1463,329,1519,296,821,267,352,103,169,86,44,35,133,79,66,80,10,16
0500000US01079,01079,"Lawrence County, Alabama",33586,,31709,341,25978,170,3848,87,1826,288,37,20,0,24,20,24,1877,341,256,248,1621,368,1866,341,280,267,1194,288,21,27,51,57,320,253,11,13,0,24
0500000US01081,01081,"Lee County, Alabama",150982,,148420,506,105518,694,35095,627,231,111,4947,205,26,44,2603,784,2562,506,151,147,2411,502,2317,421,766,283,809,281,340,174,68,58,334,225,236,267,9,15
0500000US01083,01083,"Limestone County, Alabama",88805,,86834,378,71980,667,11426,279,470,139,1106,159,38,44,1814,619,1971,378,157,96,1814,369,1882,369,766,257,544,156,312,159,20,22,240,122,69,65,20,34
0500000US01085,01085,"Lowndes County, Alabama",10742,,10694,43,2739,26,7955,49,0,18,0,18,0,18,0,18,48,43,0,18,48,43,19,28,0,18,19,28,0,18,0,18,0,18,29,36,0,18
0500000US01087,01087,"Macon County, Alabama",20018,,19865,70,3370,84,16271,144,62,27,43,53,0,18,119,102,153,70,5,10,148,66,153,70,77,47,27,20,11,16,28,29,10,11,0,18,0,18
0500000US01089,01089,"Madison County, Alabama",346438,,336193,1102,238799,824,83437,797,2039,261,8622,458,367,77,2929,685,10245,1102,693,264,9552,1005,9037,951,2034,344,2628,246,2148,579,591,381,1636,490,1139,526,69,58
0500000US01091,01091,"Marengo County, Alabama",20306,,20224,81,9482,104,10443,113,24,24,29,40,0,21,246,119,82,81,0,21,82,81,82,81,51,69,15,16,0,21,16,15,0,21,0,21,0,21
0500000US01093,01093,"Marion County, Alabama",30387,,29790,245,28448,155,1170,252,65,40,86,61,0,24,21,27,597,245,24,19,573,245,429,137,98,100,175,40,48,47,29,47,79,66,168,163,0,24
0500000US01095,01095,"Marshall County, Alabama",94318,,92450,334,86785,767,1811,195,454,181,458,91,41,42,2901,813,1868,334,244,176,1624,246,1848,334,585,188,777,106,196,88,40,40,250,175,18,11,2,3
0500000US01097,01097,"Mobile County, Alabama",414251,,407414,816,248566,719,145175,684,2680,430,8148,280,64,54,2781,693,6837,816,421,185,6416,766,6562,807,1938,498,2577,415,970,302,541,368,536,194,210,125,65,79
0500000US01099,01099,"Monroe County, Alabama",22217,,22065,91,12315,80,9382,105,284,79,74,54,0,21,10,18,152,91,0,21,152,91,152,91,36,41,116,79,0,21,0,21,0,21,0,21,0,21
0500000US01101,01101,"Montgomery County, Alabama",228138,,224763,508,88800,555,127961,424,495,162,5164,445,33,28,2310,554,3375,508,753,376,2622,435,3089,507,998,287,454,138,558,236,114,64,965,374,286,110,0,27
0500000US01103,01103,"Morgan County, Alabama",119786,,117162,421,99051,561,14717,306,758,235,720,161,99,122,1817,557,2624,421,118,75,2506,410,2565,413,742,316,1319,222,294,161,53,53,157,93,59,51,0,27
0500000US01105,01105,"Perry County, Alabama",10038,,9968,57,3075,45,6829,100,4,9,44,39,0,16,16,21,70,57,0,16,70,57,70,57,44,51,0,16,26,30,0,16,0,16,0,16,0,16
0500000US01107,01107,"Pickens County, Alabama",19856,,19688,89,11155,102,8412,168,0,21,13,24,9,15,99,62,168,89,37,40,131,78,146,82,87,70,17,15,0,21,5,9,37,40,22,27,0,21
0500000US01109,01109,"Pike County, Alabama",33155,,32833,102,19188,129,12665,160,265,44,708,59,0,24,7,10,322,102,9,9,313,103,268,92,86,44,78,44,30,33,27,31,47,54,54,45,0,24
0500000US01111,01111,"Randolph County, Alabama",22648,,22263,200,17486,152,4520,267,58,50,38,61,50,78,111,120,385,200,28,28,357,195,376,199,204,129,83,114,35,39,3,7,51,51,9,20,0,21
0500000US01113,01113,"Russell County, Alabama",58302,,56598,478,31032,371,24411,352,202,66,440,141,117,22,396,209,1704,478,274,207,1430,397,1584,454,647,326,325,79,213,139,88,96,311,206,120,90,0,27
