GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0100000US,,United States,0100000US,,United States,United States,308745538(r38234),131704730(r15031),3796742.23,264836.79,3531905.43,87.4,37.3
0100000US,,United States,0400000US01,01,United States - Alabama,Alabama,4779736(r38235),2171853(r15032),52420.07,1774.74,50645.33,94.4,42.9
0100000US,,United States,1600000US0103076,0103076,United States - Alabama - Auburn city,Auburn city,53380(r38811),24646(r15601),59.10,1.03,58.07,919.3,424.4
0100000US,,United States,1600000US0107000,0107000,United States - Alabama - Birmingham city,Birmingham city,212237(r38812),108981(r15602),148.61,2.54,146.07,1453.0,746.1
0100000US,,United States,1600000US0120104,0120104,United States - Alabama - Decatur city,Decatur city,55683,24538,60.47,6.80,53.67,1037.4,457.2
0100000US,,United States,1600000US0121184,0121184,United States - Alabama - Dothan city,Dothan city,65496,29274,89.72,0.32,89.40,732.6,327.5
0100000US,,United States,1600000US0135896,0135896,United States - Alabama - Hoover city,Hoover city,81619,35474,48.21,1.05,47.16,1730.6,752.2
0100000US,,United States,1600000US0137000,0137000,United States - Alabama - Huntsville city,Huntsville city,180105,84949,210.39,1.34,209.05,861.5,406.3
0100000US,,United States,1600000US0150000,0150000,United States - Alabama - Mobile city,Mobile city,195111(r38814),89127(r15604),179.78,40.67,139.11,1402.6,640.7
0100000US,,United States,1600000US0151000,0151000,United States - Alabama - Montgomery city,Montgomery city,205764,92115,161.92,2.36,159.57,1289.5,577.3
0100000US,,United States,1600000US0177256,0177256,United States - Alabama - Tuscaloosa city,Tuscaloosa city,90468,40842,70.35,10.12,60.23,1501.9,678.1
0100000US,,United States,0400000US02,02,United States - Alaska,Alaska,710231(r38823),306967(r15611),665384.04,94743.10,570640.95,1.2,0.5
0100000US,,United States,1600000US0203000,0203000,United States - Alaska - Anchorage municipality,Anchorage municipality,291826,113032,1961.00,256.32,1704.68,171.2,66.3
0100000US,,United States,0400000US04,04,United States - Arizona,Arizona,6392017,2844526,113990.30,396.22,113594.08,56.3,25.0
0100000US,,United States,1600000US0404720,0404720,United States - Arizona - Avondale city,Avondale city,76238,27001,45.65,0.05,45.60,1672.0,592.2
0100000US,,United States,1600000US0407940,0407940,United States - Arizona - Buckeye town,Buckeye town,50876,18207,375.39,0.13,375.26,135.6,48.5
0100000US,,United States,1600000US0410670,0410670,United States - Arizona - Casas Adobes CDP,Casas Adobes CDP,66795,30364,26.87,0.12,26.75,2496.9,1135.1
