GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Dollar,Margin of Error
0100000US,,United States,1600000US0105692,0105692,United States - Alabama - Benton town,Benton town,$(X),$(X)
0100000US,,United States,1600000US0108272,0108272,United States - Alabama - Bon Secour CDP,Bon Secour CDP,$(X),$(X)
0100000US,,United States,1600000US0108680,0108680,United States - Alabama - Boykin CDP,Boykin CDP,$(X),$(X)
0100000US,,United States,1600000US0109457,0109457,United States - Alabama - Bristow Cove CDP,Bristow Cove CDP,$(X),$(X)
0100000US,,United States,1600000US0110456,0110456,United States - Alabama - Bucks CDP,Bucks CDP,$-,$**
0100000US,,United States,1600000US0111488,0111488,United States - Alabama - Calvert CDP,Calvert CDP,$-,$**
0100000US,,United States,1600000US0112040,0112040,United States - Alabama - Cardiff town,Cardiff town,$(X),$(X)
0100000US,,United States,1600000US0112112,0112112,United States - Alabama - Carlton CDP,Carlton CDP,$(X),$(X)
0100000US,,United States,1600000US0112544,0112544,United States - Alabama - Catherine CDP,Catherine CDP,$-,$**
0100000US,,United States,1600000US0114968,0114968,United States - Alabama - Chunchula CDP,Chunchula CDP,$(X),$(X)
0100000US,,United States,1600000US0119024,0119024,United States - Alabama - Cullomburg CDP,Cullomburg CDP,$(X),$(X)
0100000US,,United States,1600000US0119912,0119912,United States - Alabama - Dayton town,Dayton town,$(X),$(X)
0100000US,,United States,1600000US0120152,0120152,United States - Alabama - Deer Park CDP,Deer Park CDP,$(X),$(X)
0100000US,,United States,1600000US0120272,0120272,United States - Alabama - Delta CDP,Delta CDP,$(X),$(X)
0100000US,,United States,1600000US0126152,0126152,United States - Alabama - Fitzpatrick CDP,Fitzpatrick CDP,$(X),$(X)
0100000US,,United States,1600000US0133544,0133544,United States - Alabama - Hatton CDP,Hatton CDP,$(X),$(X)
0100000US,,United States,1600000US0135130,0135130,United States - Alabama - Hobson CDP,Hobson CDP,$(X),$(X)
0100000US,,United States,1600000US0135512,0135512,United States - Alabama - Hollins CDP,Hollins CDP,$(X),$(X)
0100000US,,United States,1600000US0142352,0142352,United States - Alabama - Lester town,Lester town,$(X),$(X)
0100000US,,United States,1600000US0145316,0145316,United States - Alabama - Macedonia CDP,Macedonia CDP,$(X),$(X)
0100000US,,United States,1600000US0145640,0145640,United States - Alabama - McMullen town,McMullen town,$(X),$(X)
0100000US,,United States,1600000US0146192,0146192,United States - Alabama - Malcolm CDP,Malcolm CDP,$(X),$(X)
0100000US,,United States,1600000US0147848,0147848,United States - Alabama - Megargel CDP,Megargel CDP,$-,$**
0100000US,,United States,1600000US0148052,0148052,United States - Alabama - Memphis town,Memphis town,$(X),$(X)
0100000US,,United States,1600000US0152320,0152320,United States - Alabama - Mount Olive CDP (Coosa County),Mount Olive CDP (Coosa County),$(X),$(X)
0100000US,,United States,1600000US0152680,0152680,United States - Alabama - Movico CDP,Movico CDP,$(X),$(X)
0100000US,,United States,1600000US0153208,0153208,United States - Alabama - Nanafalia CDP,Nanafalia CDP,$(X),$(X)
0100000US,,United States,1600000US0153376,0153376,United States - Alabama - Natural Bridge town,Natural Bridge town,$(X),$(X)
0100000US,,United States,1600000US0155848,0155848,United States - Alabama - Oak Hill town,Oak Hill town,$(X),$(X)
0100000US,,United States,1600000US0157912,0157912,United States - Alabama - Panola CDP,Panola CDP,$(X),$(X)
0100000US,,United States,1600000US0158968,0158968,United States - Alabama - Pennington town,Pennington town,$(X),$(X)
0100000US,,United States,1600000US0162952,0162952,United States - Alabama - Putnam CDP,Putnam CDP,$(X),$(X)
0100000US,,United States,1600000US0165592,0165592,United States - Alabama - Rock Mills CDP,Rock Mills CDP,$(X),$(X)
0100000US,,United States,1600000US0165784,0165784,United States - Alabama - Rockville CDP,Rockville CDP,$-,$**
0100000US,,United States,1600000US0172408,0172408,United States - Alabama - Spring Garden CDP,Spring Garden CDP,$(X),$(X)
0100000US,,United States,1600000US0172672,0172672,United States - Alabama - Spruce Pine CDP,Spruce Pine CDP,$-,$**
0100000US,,United States,1600000US0176200,0176200,United States - Alabama - Tibbie CDP,Tibbie CDP,$-,$**
0100000US,,United States,1600000US0179272,0179272,United States - Alabama - Vredenburgh town,Vredenburgh town,$(X),$(X)
0100000US,,United States,1600000US0181744,0181744,United States - Alabama - Whatley CDP,Whatley CDP,$-,$**
0100000US,,United States,1600000US0201305,0201305,United States - Alaska - Alatna CDP,Alatna CDP,$-,$**
